DATE,DEXUSUK
1982-01-08,1.9200
1982-01-11,1.8870
1982-01-12,1.8730
1982-01-13,1.8680
1982-01-14,1.8635
1982-01-15,1.8700
1982-01-18,1.8835
1982-01-19,1.8940
1982-01-20,1.8832
1982-01-21,1.8800
1982-01-22,1.8705
1982-01-25,1.8545
1982-01-26,1.8705
1982-01-27,1.8660
1982-01-28,1.8745
1982-01-29,1.8790
1982-02-01,1.8605
1982-02-02,1.8625
1982-02-03,1.8585
1982-02-04,1.8700
1982-02-05,1.8605
1982-02-08,1.8625
1982-02-09,1.8420
1982-02-10,1.8475
1982-02-11,1.8490
1982-02-12,.
1982-02-15,.
1982-02-16,1.8322
1982-02-17,1.8355
1982-02-18,1.8515
1982-02-19,1.8525
1982-02-22,1.8475
1982-02-23,1.8310
1982-02-24,1.8295
1982-02-25,1.8327
1982-02-26,1.8200
1982-03-01,1.8217
1982-03-02,1.8125
1982-03-03,1.8230
1982-03-04,1.8275
1982-03-05,1.8375
1982-03-08,1.8250
1982-03-09,1.8035
1982-03-10,1.8100
1982-03-11,1.8050
1982-03-12,1.7975
1982-03-15,1.8070
1982-03-16,1.8020
1982-03-17,1.8092
1982-03-18,1.8095
1982-03-19,1.7990
1982-03-22,1.7978
1982-03-23,1.8020
1982-03-24,1.8045
1982-03-25,1.7955
1982-03-26,1.7900
1982-03-29,1.7775
1982-03-30,1.7835
1982-03-31,1.7810
1982-04-01,1.7900
1982-04-02,1.7875
1982-04-05,1.7722
1982-04-06,1.7505
1982-04-07,1.7630
1982-04-08,1.7530
1982-04-09,1.7540
1982-04-12,1.7680
1982-04-13,1.7690
1982-04-14,1.7600
1982-04-15,1.7598
1982-04-16,1.7600
1982-04-19,1.7730
1982-04-20,1.7705
1982-04-21,1.7770
1982-04-22,1.7775
1982-04-23,1.7720
1982-04-26,1.7775
1982-04-27,1.7745
1982-04-28,1.7855
1982-04-29,1.7940
1982-04-30,1.7945
1982-05-03,1.8135
1982-05-04,1.7945
1982-05-05,1.8050
1982-05-06,1.8210
1982-05-07,1.8262
1982-05-10,1.8360
1982-05-11,1.8330
1982-05-12,1.8370
1982-05-13,1.8240
1982-05-14,1.8235
1982-05-17,1.8165
1982-05-18,1.8135
1982-05-19,1.7965
1982-05-20,1.7795
1982-05-21,1.7975
1982-05-24,1.8045
1982-05-25,1.8048
1982-05-26,1.8000
1982-05-27,1.7895
1982-05-28,1.7910
1982-05-31,.
1982-06-01,1.7875
1982-06-02,1.7915
1982-06-03,1.7962
1982-06-04,1.7950
1982-06-07,1.7900
1982-06-08,1.7820
1982-06-09,1.7745
1982-06-10,1.7640
1982-06-11,1.7745
1982-06-14,1.7580
1982-06-15,1.7612
1982-06-16,1.7480
